,Keyword,Position,Url,Top10,HTTP code BABBAR,TTFB (en ms) BABBAR,Page Value BABBAR,Page Trust BABBAR,Semantic Value BABBAR,Backlinks BABBAR,Backlinks host BABBAR,Host Outlinks BABBAR,Outlinks BABBAR,Score_1fr,Desktop First Contentful Paint Terrain,Desktop First Input Delay Terain,Desktop Largest Contentful Paint Terrain,Desktop Cumulative Layout Shift Terrain,Desktop First Contentful Paint Lab,Desktop Speed Index Lab,Desktop Largest Contentful Paint Lab,Desktop Time to Interactive Lab,Desktop Total Blocking Time Lab,Desktop Cumulative Layout Shift Lab,SOSEO yourtext_guru,DSEO yourtext_guru,Content Type,Status Code,Status,Indexability_x,Indexability Status_x,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,Meta Robots 2,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp,Errors,Warnings,Total Types,Unique Types,Type-1,Indexability_y,Indexability Status_y,Title 1 score,Meta Description 1 score,Meta Keywords 1 score,H1-1 score,H1-2 score,H2-1 score,H2-2 score,Meta Robots 1 score,Url score
0,agence seo lille,1,https://seo-levelup.com/,0,200.0,2934.0,67.0,32.0,60.0,22.0,20.0,15.0,3.0,52.0,,,,,,1602.6472280751022,,1117.0,0.0,,25.0,1.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO à Lille | Efficace et abordable | Level Up,53,463,Level Up : l'agence SEO des entrepreneurs audacieux. Prenez la première position sur Google et gagnez en visibilité !,117,707,,0,Agence SEO à Lille,18,,0,Objectif : #1 sur Google.,25,"Le SEO, créateur de visibilité.",31,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://seo-levelup.com/,,,,,,113705,21159,715,107,0,0,Fairly Easy,0,0,0,,10,1,0,0,46,14,0,3,3,0,,,,,ab20ddcceb4b1b86ef1e06f63c95b5e0,0,,,,,1.1,https://seo-levelup.com/,2024-01-30 15:10:02,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
1,agence seo lille,2,https://www.la-revanche-des-sites.fr/,0,200.0,2055.0,74.0,47.0,69.0,464.0,1700.0,31.0,17.0,68.0,2397.0,2.0,2560.0,3.0,2397.0,1447.1063542079194,2560.0,2336.0,221.5,3.0,62.0,7.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO Lille | Bespoke,26,242,"20 experts en référencement naturel SEO & SXO sur Lille vous aident à mesurer, diversifier et augmenter votre trafic provenant des moteurs de recherche. Contactez-nous !",169,1049,,0,Votre agence SEO à Lille,24,,0,L'agence de référencement naturel qu'il vous faut,49,Une équipe de professionnels à votre écoute,43,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://www.la-revanche-des-sites.fr/,,,,,,168286,27411,1312,228,0,0,Fairly Easy,0,0,0,,17,3,0,0,70,30,0,18,17,0,,,,,d7f635bf5569922fe31bd27a88761cc3,0,,,,,1.1,https://www.la-revanche-des-sites.fr/,2024-01-30 15:09:59,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
2,agence seo lille,3,https://www.sortlist.fr/seo/lille-nord-pas-de-calais-fr,0,200.0,103.0,69.0,40.0,,23.0,934.0,125.0,2.0,,1726.0,3.0,2053.0,6.0,1726.0,1501.8503680248962,2053.0,5771.75,2470.25,6.0,,,text/html; charset=utf-8,200,OK,Indexable,,Les 10 Meilleures Agences SEO à Lille (2024),44,402,"Vous cherchez une Agence de Référencement à Lille? Voici les meilleures, listées pour vous.",91,558,,0,Meilleures Agences SEO à Lille,30,,0,Meilleures Agences de Référencement à Lille,43,Donnez plus de visibilité à votre projet web grâce à une agence de référencement internet à Lille,97,"index,follow",,,,https://www.sortlist.fr/seo/lille-nord-pas-de-calais-fr,,,,,,3683227,816079,1843,395,0,0,Normal,0,0,1,,57,1,0,0,225,166,0,1,1,0,,,,,f6bf29e0d18cd0ae8449a3f3334cc890,0,,,,,1.1,https://www.sortlist.fr/seo/lille-nord-pas-de-calais-fr,2024-01-30 15:09:59,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
3,agence seo lille,4,https://www.noiise.com/agences/lille/seo/,0,200.0,336.0,69.0,51.0,60.0,10.0,99.0,58.0,4.0,70.0,1023.0,3.0,1467.0,3.0,1023.0,1066.6810759988625,1467.0,3168.5,29.0,3.0,64.0,5.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO Lille - Référencement Naturel Noiise,47,437,"À la recherche d'une Agence SEO à Lille ? Depuis 1999, nos 85 Experts en Référencement Naturel vous conseillent sur votre stratégie. Contactez Noiise !",151,928,,0,Agence SEO Lille,16,,0,Les prestations de notre agence de référencement à Lille,56,Où se situe notre agence SEO à Lille ?,38,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://www.noiise.com/agences/lille/seo/,,,,,,206821,30065,943,148,0,0,Fairly Easy,0,0,3,,3,1,0,0,78,58,0,4,4,0,,,,,67cad6f88ee831b36a787dd68323af90,0,,,,,1.1,https://www.noiise.com/agences/lille/seo/,2024-01-30 15:09:59,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
4,agence seo lille,5,https://www.paulvengeons.fr/agence-seo-lille,0,200.0,155.0,67.0,26.0,52.0,4.0,384.0,95.0,11.0,83.0,726.0,3.0,825.0,2.0,726.0,917.0,825.0,920.0,0.0,2.0,87.0,16.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO Lille : Le Comparatif Ultime !,41,368,Découvrez les meilleures Agences SEO de Lille ! Atteignez le top Google sur vos mots clés grâce à des experts en référencement.,127,781,,0,Agence SEO Lille,16,,0,Qu'est-ce que le Référencement Naturel ?,40,Qu'est-ce qu'une Agence SEO à Lille ?,37,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,,https://www.paulvengeons.fr/agence-seo-lille,,,,,,387124,54648,1826,318,0,0,Fairly Easy,0,0,0,,11,1,0,0,199,94,0,12,11,0,,,,,18f1678b9a09befb3d0434018ef981c4,0,,,,,1.1,https://www.paulvengeons.fr/agence-seo-lille,2024-01-30 15:10:01,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
5,agence seo lille,6,https://www.agence90.fr/agence/seo-lille/,0,0.0,0.0,65.0,39.0,58.0,22.0,11.0,0.0,0.0,88.0,1925.0,3.0,2308.0,5.0,1925.0,2194.034148736026,2308.0,2372.5,18.0,5.0,133.0,39.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence SEO Lille : Améliorez votre Empreinte sur Google | Agence 90,67,615,Augmentez le trafic SEO de votre site internet et vos revenus en boostant votre Référencement Naturel. Notre agence SEO à Lille vous accompagne dans le développement de votre visibilité sur Google.,197,1227,,0,Votre agence SEO lilloise.,26,,0,Nos promesses.,14,Nos expertises SEO.,19,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://www.agence90.fr/agence/seo-lille/,,,,,,360469,57000,2876,393,0,0,Normal,0,0,2,,0,0,0,0,56,36,0,0,0,0,,,,,cc7e00ac1b9d8a2017acd2096ba1f27,0,"Tue, 30 Jan 2024 14:06:05 GMT",,,,1.1,https://www.agence90.fr/agence/seo-lille/,2024-01-30 15:10:00,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
6,agence seo lille,7,https://www.eskimoz.fr/agence-seo-lille/,0,200.0,718.0,58.0,18.0,45.0,4.0,3.0,61.0,7.0,,837.0,8.0,1471.0,4.0,837.0,413.5766309034319,1471.0,656.0,0.0,4.0,30.0,1.0,text/html; charset=UTF-8,200,OK,Indexable,,Agence de Référencement Naturel SEO à Lille,43,408,"Vous recherchez une agence de référencement naturel à Lille ? Ne cherchez plus, passez à l'action et contactez Eskimoz sans plus attendre !",139,859,,0,Agence SEO à Lille,18,,0,Promesse n°1 de votre agence SEO à Lille,40,Promesse n°2 de votre agence SEO à Lille,40,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://www.eskimoz.fr/agence-seo-lille/,,,,,,231792,33355,754,112,0,0,Fairly Easy,0,0,1,,0,0,0,0,142,60,0,12,6,0,,,,,832d5c1127b68e12dff0d45930408afd,0,"Tue, 30 Jan 2024 13:26:16 GMT",,,,1.1,https://www.eskimoz.fr/agence-seo-lille/,2024-01-30 15:10:01,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
7,agence seo lille,8,https://www.seo-monkey.fr/,0,200.0,63.0,72.0,35.0,66.0,225.0,184.0,43.0,4.0,62.0,1548.0,4.0,1922.0,30.0,1867.0,653.9497399078197,2168.0,435.5,0.0,30.0,28.0,1.0,text/html; charset=UTF-8,200,OK,Indexable,,Une Agence SEO Transparente & Efficace • SEO Monkey,51,496,"Un accompagnement sans engagement, des rapports hebdomadaires et des consultants qui s'engagent à 100% ! Bienvenue Chez SEO Monkey.",131,883,,0,Agence SEO,10,,0,Référencement Naturel Transparent & Efficace,44,Avis Google,11,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,,https://www.seo-monkey.fr/,,,,,,200024,46278,925,155,0,0,Fairly Easy,0,0,0,,4,2,0,0,64,42,0,6,4,0,,,,,13cd8ace5ce051e90a70de58d11547c,0,,,,,1.1,https://www.seo-monkey.fr/,2024-01-30 15:10:00,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
8,agence seo lille,9,https://www.lemon-interactive.fr/expertises/agence-seo-lille-paris/,0,200.0,172.0,76.0,38.0,58.0,26.0,295.0,19.0,5.0,85.0,1108.0,2.0,1295.0,2.0,1108.0,962.0,1295.0,1694.0,14.0,2.0,133.0,32.0,text/html; charset=UTF-8,200,OK,Indexable,,"Agence SEO Lille & Paris, Référencement Naturel - Lemon Interactive",67,615,Vous cherchez une Agence SEO à Lille de confiance ? Faites appel à nos experts en référencement naturel pour propulser votre site sur Google.,141,875,,0,Agence SEO Lille & Paris,24,,0,Confiez à nos experts l’optimisation de votre site web sur Google,65,Notre agence SEO se repose sur des piliers fondamentaux alliant technique & expérience,86,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",,,,https://www.lemon-interactive.fr/expertises/agence-seo-lille-paris/,,,,,,79416,22058,2079,308,0,0,Fairly Easy,0,0,2,,4,1,0,0,32,18,0,5,5,0,,,,,3e87816e250bcbc159e55727a9e088b6,0,"Tue, 30 Jan 2024 13:55:39 GMT",,,,1.1,https://www.lemon-interactive.fr/expertises/agence-seo-lille-paris/,2024-01-30 15:09:56,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
9,agence seo lille,10,https://wapiti-agency.com/agence-seo-lille/,0,200.0,31667.0,68.0,24.0,,9.0,432.0,46.0,7.0,80.0,508.0,3.0,625.0,0.0,508.0,537.0,625.0,556.0,0.0,0.0,104.0,21.0,text/html; charset=UTF-8,200,OK,Indexable,,"Agence SEO Lille, améliorer votre référencement naturel - Wapiti Agency",71,646,Besoin d'une agence SEO à Lille ? Nos experts SEO vous accompagnent dans la mise en place et l'accompagnement de votre stratégie de référencement naturel,153,978,,0,Agence SEO – Lille,18,,0,Pourquoi faire appel à une agence SEO ?,39,Qu'est ce que le SEO ?,22,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,,,https://wapiti-agency.com/agence-seo-lille/,,,,,,736367,104045,1881,315,0,0,Fairly Easy,0,0,1,,30,1,0,0,125,51,0,10,8,0,,,,,4b5e3f99c40dd9285284be1c16100f0b,0,"Tue, 30 Jan 2024 11:44:51 GMT",,,,1.1,https://wapiti-agency.com/agence-seo-lille/,2024-01-30 15:09:56,0,0,0,0,,Indexable,,0,0,0,0,0,0,0,0,0
